id;categoria;nome_exibicao;nome_produto;pasta_referencia;medidas_texto_atual;altura_cm;largura_cm;profundidade_cm
50;cozinhas;COZINHAS;indekes/cozinha/monza/5peças;indekes/cozinha/monza/5peças/COZINHA-MONZA-5-PCS-FREIJO_CHUMBO-1X1-RGB.webp;"5 peças; aberta; medidas";;;
51;cozinhas;COZINHAS;indekes/cozinha/monza/6peças;indekes/cozinha/monza/6peças/COZ-MONZA-6-PECAS-FREIJO_OFFWHITE-1X1-RGB-copiar.webp;"6 peças; aberta; medidas";;;
52;cozinhas;COZINHAS;indekes/cozinha/monza/8peças;indekes/cozinha/monza/8peças/COZINHA-MONZA-8-PCS-KIT-TRIP-FREIJO_OFFWHITE-.webp;"8 peças; painel triplo; medidas";;;
61;eletrodomesticos;ELETRODOMÉSTICOS;laveMais/TANQUINHO BRANCO SUPERSTAR;laveMais/TANQUINHO BRANCO SUPERSTAR/branco.png;;;;
64;guarda-roupas;GUARDA-ROUPAS;moval/gr/atena;moval/gr/atena/Moval-GR-Atenas-Projeto-421-Freijo-e-Off-White-Ambiente-Ecommerce.jpg;imagem aberta e medidas;;;
68;guarda-roupas;GUARDA-ROUPAS;SantosAndira/GR/fitPortaDeCorrer;SantosAndira/GR/fitPortaDeCorrer/GR_Fit_2PtsCorrer_BRanco_Amb.jpg;2 portas de correr;;;
69;guarda-roupas;GUARDA-ROUPAS;SantosAndira/GR/fit3pts;SantosAndira/GR/fit3pts/GR_Fit_3.2_BRanco_FI_frontal-Amb.jpg;"3.2; imagem aberta e medidas";;;
75;guarda-roupas;GUARDA-ROUPAS;luciane/guarda roupa modulado;luciane/guarda roupa modulado/dormitorio-veneza01-arenas.jpg;guarda-roupa modulado;;;
77;guarda-roupas;GUARDA-ROUPAS;albatroz/GUARDA ROUPA SOLE 2 PORTAS DE CORRER CESPELHO/CINAMOMO-OFF;albatroz/GUARDA ROUPA SOLE 2 PORTAS DE CORRER CESPELHO/CINAMOMO-OFF/CINAMOMO-OFF.png;imagens aberto/fechado;;;
79;guarda-roupas;GUARDA-ROUPAS;lanza/guarda roupa/Roupeiro Genova;lanza/guarda roupa/Roupeiro Genova/Roupeiro Gênova - Cedro.jpg;imagens internas;;;
80;guarda-roupas;GUARDA-ROUPAS;lanza/guarda roupa/Roupeiro Lion;lanza/guarda roupa/Roupeiro Lion/Roupeiro Lion - Branco.jpg;imagens internas;;;
81;guarda-roupas;GUARDA-ROUPAS;lanza/guarda roupa/Roupeiro Padua;lanza/guarda roupa/Roupeiro Padua/Roupeiro Pádua - Branco.jpg;imagens internas;;;
82;guarda-roupas;GUARDA-ROUPAS;lanza/guarda roupa/Roupeiro Veneto;lanza/guarda roupa/Roupeiro Veneto/Roupeiro Veneto com Espelho - Cedro.jpg;imagens internas;;;
83;mesas-e-escrivaninhas;MESAS E ESCRIVANINHAS;poliman/mesaEcadeires/110cm;poliman/mesaEcadeires/110cm/ChatGPT Image 18 de jun. de 2026, 01_51_23.png;"110 cm; 155 cm";;;
87;mesas-e-escrivaninhas;MESAS E ESCRIVANINHAS;dj/mesa/marina/120x90;dj/mesa/marina/120x90/MESA_MARINA_1200_FREIJO_TP_OFF_WHITE.jpg;"120 x 90; 160 x 80";;;
90;multiusos;MULTIUSOS;primus/multiuso/cordoba;primus/multiuso/cordoba/aberto.png;imagem aberta;;;
92;multiusos;MULTIUSOS;moval/multiuso;moval/multiuso/Moval-Multiuso-Jade-Branco-Ambiente-Ecommerce.jpg;imagem aberta e medidas;;;
95;outros;OUTROS;batrol/conjunto;batrol/conjunto/conjunto.png;conjunto;;;
97;outros;OUTROS;lanza/mesa de cabeceira/Mesa de Cabeceira Roma;lanza/mesa de cabeceira/Mesa de Cabeceira Roma/Mesa Cabeceira Roma - Branco.jpg;imagens frontais/internas;;;
98;outros;OUTROS;Demobile/penteadeira;Demobile/penteadeira/camarimCarismaBranca.jpg;;;;
104;poltronas;POLTRONAS;Viero/poltrona/flower;Viero/poltrona/flower/linhoBronze.jpg;;;;
106;poltronas;POLTRONAS;alpoim/POLTRONAS/Rebeca/Azul;alpoim/POLTRONAS/Rebeca/Azul/WhatsApp Image 2025-08-01 at 11.06.09.jpeg;;;;
107;racks-e-paineis;RACKS E PAINÉIS;bechara/home/dallas;bechara/home/dallas/naturalle-off.png;imagem de medidas presente;;;
108;racks-e-paineis;RACKS E PAINÉIS;colibri/HOME/Humaitá/FREIJO-CINZA;colibri/HOME/Humaitá/FREIJO-CINZA/FREIJO-CINZA (2).png;;;;
109;racks-e-paineis;RACKS E PAINÉIS;colibri/painel/bali/NATURALE;colibri/painel/bali/NATURALE/NATURALE (2).png;;;;
110;racks-e-paineis;RACKS E PAINÉIS;dj/painel/iza;dj/painel/iza/BALI-CEDRO (2).png;imagem de medidas presente;;;
111;racks-e-paineis;RACKS E PAINÉIS;bechara/painel/maresias;bechara/painel/maresias/OFF-NATURALLE.png;imagem de medidas presente;;;
112;racks-e-paineis;RACKS E PAINÉIS;bechara/painel/navi;bechara/painel/navi/branco-ripado.png;imagem de medidas presente;;;
113;racks-e-paineis;RACKS E PAINÉIS;bechara/rack/Juquehy;bechara/rack/Juquehy/OFF-NATURALLE.png;imagem aberta e medidas;;;
114;racks-e-paineis;RACKS E PAINÉIS;bechara/rack/topazio;bechara/rack/topazio/CINAMOMO-OFF-RIPADO.png;imagem de medidas presente;;;
115;racks-e-paineis;RACKS E PAINÉIS;bechara/rack/turim;bechara/rack/turim/pretoFosco-Naturalle (2).png;imagem de medidas presente;;;
119;sofas;SOFÁS;sofa/2e3Lugares/corolla;sofa/2e3Lugares/corolla/cinza.png;2 e 3 lugares;;;
124;sofas;SOFÁS;paropas/sofa2e3Lugares;paropas/sofa2e3Lugares/cinza.png;2 e 3 lugares / 180 cm / 130 cm / 68 cm / 82 cm / 20 cm / 44,000 kg / 36,000 kg;;;
